,zipcode,address,price,size
449,91042,"7117 Valmont St, Tujunga, CA 91042",675000,1265
450,91101,"601 E Del Mar Blvd APT 507, Pasadena, CA 91101",420000,746
453,91101,"840 E Green St UNIT 213, Pasadena, CA 91101",799000,1303
456,91101,"748 Locust St UNIT 303, Pasadena, CA 91101",1028000,1816
457,91101,"388 Cordova St # 310, Pasadena, CA",1477000,1706
458,91101,"388 Cordova St # 703, Pasadena, CA",875000,1116
459,91101,"478 S Oakland Ave UNIT 2, Pasadena, CA 91101",1095000,2040
460,91101,"534 S Oak Knoll Ave UNIT 205, Pasadena, CA 91101",799000,1632
461,91101,"840 E Green St UNIT 132, Pasadena, CA 91101",679000,1038
463,91101,"626 E Walnut St, Pasadena, CA 91101",748000,1748
467,91101,"288 S Oakland Ave UNIT 213, Pasadena, CA 91101",1120000,1942
468,91101,"284 S Madison Ave APT 204, Pasadena, CA 91101",525000,958
469,91101,"388 Cordova St PH 2, Pasadena, CA",2935000,2218
470,91101,"139 S Los Robles Ave UNIT 202, Pasadena, CA 91101",538000,600
471,91101,"388 Cordova St # 308, Pasadena, CA",1065000,1294
472,91101,"582 N Oakland Ave, Pasadena, CA 91101",1250000,2850
473,91101,"383 S Marengo Ave # 101, Pasadena, CA 91101",1100000,1960
474,91101,"590 N El Molino Ave, Pasadena, CA 91101",1100000,1766
475,91101,"742 Locust St # 502, Pasadena, CA 91101",1229000,2155
476,91101,"700 E Union St UNIT 201, Pasadena, CA 91101",655000,860
477,91101,"269 E Del Mar Blvd, Pasadena, CA 91101",858000,1439
478,91101,"355 S Madison Ave UNIT 120, Pasadena, CA 91101",485000,922
479,91101,"251 303 N Oakland Ave, Pasadena, CA 91101",40300000,57819
480,91101,"303 N Oakland Ave, Pasadena, CA 91101",7203000,9658
481,91101,"285 N Oakland Ave, Pasadena, CA 91101",10560000,18216
482,91101,"275 N Oakland Ave, Pasadena, CA 91101",5710000,8041
483,91101,"251 N Oakland Ave, Pasadena, CA 91101",7150000,7712
484,91101,"742 Locust St APT 402, Pasadena, CA 91101",1049000,1983
485,91101,"465 S Los Robles Ave APT 11, Pasadena, CA 91101",480000,863
486,91101,"257 S Hudson Ave UNIT 103, Pasadena, CA 91101",1038000,1729
487,91101,"645 N Los Robles Ave, Pasadena, CA 91101",975000,1767
488,91101,"388 Cordova St # 407, Pasadena, CA",1614000,1767
489,91101,"141 S Hudson Ave UNIT 102, Pasadena, CA 91101",985000,2005
490,91103,"1640 Mentone Ave, Pasadena, CA 91103",599900,972
491,91103,"1660 Casitas Ave, Pasadena, CA 91103",849000,1760
492,91103,"1340 El Mirador Dr, Pasadena, CA 91103",2800000,3659
493,91103,"1850 Lincoln Ave # 2, Pasadena, CA 91103",828000,1836
494,91103,"1505 Navarro Ave, Pasadena, CA 91103",439900,676
495,91103,"522 Del Monte St, Pasadena, CA 91103",1049000,2263
496,91103,"1470 Linda Vista Ave, Pasadena, CA 91103",1958000,2535
