,dr_no,area,date_occ,time_occ,location,lat,lon,crm_cd,zipcode
236,190128792,1,2019-12-08T00:00:00.000,1340,700 W  7TH                          ST,34.048,-118.2577,442,90017
237,191425177,14,2019-12-08T00:00:00.000,1700,11800    ALLIN                        ST,33.9924,-118.4105,745,90230
238,190128769,1,2019-12-08T00:00:00.000,226,500 S  FLOWER                       ST,34.0516,-118.2561,740,90071
239,191323527,13,2019-12-08T00:00:00.000,1700,4500 S  ALAMEDA                      ST,34.0,-118.2389,510,90058
240,190128796,1,2019-12-08T00:00:00.000,150,18TH,34.042,-118.2625,626,90015
241,191920283,19,2019-12-08T00:00:00.000,1345,14200    AZTEC                        ST,34.2978,-118.4428,901,91342
242,192119562,21,2019-12-08T00:00:00.000,1800,7100    INDEPENDENCE                 AV,34.1992,-118.5906,761,91303
243,191920284,19,2019-12-08T00:00:00.000,830,9200    WAKEFIELD                    AV,34.2376,-118.4481,626,91402
244,191228437,12,2019-12-08T00:00:00.000,1500,8100 S  WESTERN                      AV,33.9655,-118.309,236,90047
245,190819322,8,2019-12-08T00:00:00.000,1745,1800 S  SEPULVEDA                    BL,34.0459,-118.4428,740,90025
246,190222943,2,2019-12-08T00:00:00.000,1050,200 N  TOLUCA                       ST,34.0633,-118.2575,624,90026
247,191425145,14,2019-12-08T00:00:00.000,1300,4200    MCLAUGHLIN                   AV,34.0051,-118.4222,626,90066
248,191824526,18,2019-12-08T00:00:00.000,430,CENTRAL                      AV,33.9433,-118.2541,236,90002
249,191617349,16,2019-12-08T00:00:00.000,955,11800    FOOTHILL                     BL,34.2772,-118.3979,623,91342
250,190920949,9,2019-12-08T00:00:00.000,900,6700 N  SEPULVEDA                    BL,34.1921,-118.4662,745,91406
251,191920290,19,2019-12-08T00:00:00.000,1330,9800    VESPER                       AV,34.2492,-118.4502,626,91402
252,190128824,1,2019-12-08T00:00:00.000,1700,1100    MAPLE                        AV,34.0388,-118.2574,740,90015
253,191425131,14,2019-12-08T00:00:00.000,30,400    WORLD                        WY,33.9433,-118.4072,626,90045
254,191920271,19,2019-12-08T00:00:00.000,130,8300    SEPULVEDA                    BL,34.2214,-118.4677,210,91402
